Index,bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,spleen
image_00248,0,0,0,0,0,1,0,0,0,0,0
image_00249,0,0,0,1,0,0,0,0,0,0,0
image_00250,0,0,0,0,0,0,0,1,0,0,0
image_00251,0,0,0,0,0,0,1,0,0,0,0
image_00252,0,0,0,0,0,0,0,1,0,0,0
image_00253,0,0,0,0,0,0,0,0,0,1,0
image_00254,0,0,0,0,0,0,0,1,0,0,0
image_00255,0,0,0,0,0,0,0,0,0,1,0
image_00256,0,0,0,0,0,0,0,1,0,0,0
image_00257,0,0,0,0,0,1,0,0,0,0,0
image_00258,0,0,0,0,0,0,0,0,0,0,1
image_00259,0,0,0,0,0,0,0,1,0,0,0
image_00260,0,0,0,0,0,0,0,0,0,1,0
image_00261,0,0,0,0,0,0,1,0,0,0,0
image_00262,0,0,0,0,0,0,0,0,1,0,0
image_00263,0,0,0,0,1,0,0,0,0,0,0
image_00264,0,0,0,0,0,1,0,0,0,0,0
image_00265,0,0,0,0,0,0,0,0,1,0,0
image_00266,0,0,0,0,0,1,0,0,0,0,0
image_00267,0,0,0,0,0,0,0,0,0,1,0
image_00268,0,0,0,0,0,0,0,1,0,0,0
image_00269,0,0,0,0,0,0,0,0,0,0,1
image_00270,0,0,0,0,0,1,0,0,0,0,0
image_00271,0,0,0,0,0,1,0,0,0,0,0
image_00272,0,0,0,0,0,0,0,0,1,0,0
image_00273,0,0,0,0,0,0,0,0,0,0,1
image_00274,0,0,0,0,0,0,1,0,0,0,0
image_00275,0,0,0,0,0,0,0,0,0,0,1
image_00276,0,0,0,0,0,0,0,1,0,0,0
image_00277,0,0,0,0,0,0,1,0,0,0,0
image_00278,0,0,0,0,0,0,0,0,1,0,0
image_00279,0,0,0,1,0,0,0,0,0,0,0
image_00280,0,0,0,0,0,0,0,0,1,0,0
image_00281,0,0,0,0,0,1,0,0,0,0,0
image_00282,0,0,0,0,0,0,0,0,1,0,0
image_00283,0,0,0,0,0,1,0,0,0,0,0
image_00284,1,0,0,0,0,0,0,0,0,0,0
image_00285,0,0,0,0,0,0,0,0,0,1,0
image_00286,0,0,0,0,1,0,0,0,0,0,0
image_00287,0,0,0,0,1,0,0,0,0,0,0
image_00288,0,0,0,0,0,0,1,0,0,0,0
image_00289,0,0,1,0,0,0,0,0,0,0,0
image_00290,0,0,0,0,0,0,0,1,0,0,0
image_00291,0,0,0,0,0,1,0,0,0,0,0
image_00292,0,0,0,0,0,0,0,1,0,0,0
image_00293,1,0,0,0,0,0,0,0,0,0,0
image_00294,0,0,0,0,0,0,0,0,0,1,0
image_00295,1,0,0,0,0,0,0,0,0,0,0
image_00296,0,0,0,0,0,0,0,0,0,0,1
image_00297,0,0,0,0,0,0,0,0,0,1,0
image_00298,0,0,0,0,0,0,0,0,0,1,0
image_00299,0,1,0,0,0,0,0,0,0,0,0
image_00300,0,0,0,0,0,0,0,0,1,0,0
image_00301,0,0,0,1,0,0,0,0,0,0,0
image_00302,0,1,0,0,0,0,0,0,0,0,0
image_00303,0,0,0,0,0,0,0,0,1,0,0
image_00304,0,0,0,0,0,1,0,0,0,0,0
image_00305,0,1,0,0,0,0,0,0,0,0,0
image_00306,0,0,0,0,0,0,0,0,1,0,0
image_00307,0,0,0,0,1,0,0,0,0,0,0
image_00308,0,0,0,0,0,1,0,0,0,0,0
image_00309,0,0,0,0,1,0,0,0,0,0,0
image_00310,0,0,0,0,0,0,0,1,0,0,0
image_00311,0,0,0,0,0,0,1,0,0,0,0
image_00312,0,0,0,0,0,0,0,0,1,0,0
image_00313,0,0,0,0,0,0,0,0,0,0,1
image_00314,0,0,0,0,0,0,0,1,0,0,0
image_00315,0,0,0,0,0,0,1,0,0,0,0
image_00316,0,0,1,0,0,0,0,0,0,0,0
image_00317,0,0,0,0,0,1,0,0,0,0,0
image_00318,0,0,0,0,0,0,0,1,0,0,0
image_00319,0,0,0,0,1,0,0,0,0,0,0
image_00320,0,0,0,0,0,0,0,0,0,1,0
image_00321,0,0,0,0,0,0,0,1,0,0,0
image_00322,0,0,1,0,0,0,0,0,0,0,0
image_00323,0,0,0,0,0,0,0,0,0,0,1
image_00324,0,0,1,0,0,0,0,0,0,0,0
image_00325,0,0,0,0,1,0,0,0,0,0,0
image_00326,0,0,0,0,0,1,0,0,0,0,0
image_00327,0,0,0,0,0,0,0,0,0,1,0
image_00328,0,0,0,0,0,1,0,0,0,0,0
image_00329,0,0,0,0,1,0,0,0,0,0,0
image_00330,0,0,0,0,0,0,0,0,0,0,1
image_00331,0,0,0,0,0,0,0,0,0,1,0
image_00332,0,0,0,0,0,0,0,0,0,0,1
image_00333,0,0,0,0,0,0,0,0,0,1,0
image_00334,0,0,0,0,0,0,0,1,0,0,0
image_00335,0,0,0,0,0,0,1,0,0,0,0
image_00336,1,0,0,0,0,0,0,0,0,0,0
image_00337,0,0,0,0,1,0,0,0,0,0,0
image_00338,0,0,0,0,0,1,0,0,0,0,0
image_00339,0,0,0,0,0,0,0,1,0,0,0
image_00340,0,0,0,0,0,1,0,0,0,0,0
image_00341,0,0,0,0,0,0,0,1,0,0,0
image_00342,0,0,0,0,0,0,0,0,0,1,0
image_00343,0,0,0,0,0,0,1,0,0,0,0
image_00344,0,0,0,0,0,0,1,0,0,0,0
image_00345,0,0,0,0,0,0,0,0,0,1,0
image_00346,0,0,0,0,0,1,0,0,0,0,0
image_00347,0,0,0,0,0,0,0,0,0,0,1
image_00348,0,0,0,0,0,0,1,0,0,0,0
image_00349,0,0,0,1,0,0,0,0,0,0,0
image_00350,0,0,0,0,0,1,0,0,0,0,0
image_00351,0,0,0,0,0,0,0,0,1,0,0
image_00352,0,0,0,0,0,1,0,0,0,0,0
image_00353,0,0,0,0,0,0,0,0,1,0,0
image_00354,0,0,0,0,0,0,0,0,1,0,0
image_00355,0,0,0,0,0,0,1,0,0,0,0
image_00356,0,0,0,0,0,0,0,0,0,1,0
image_00357,0,0,0,0,0,0,1,0,0,0,0
image_00358,0,1,0,0,0,0,0,0,0,0,0
image_00359,0,0,0,0,1,0,0,0,0,0,0
image_00360,0,0,0,0,1,0,0,0,0,0,0
image_00361,0,0,0,0,0,0,0,0,0,1,0
image_00362,0,0,0,0,1,0,0,0,0,0,0
image_00363,0,0,0,1,0,0,0,0,0,0,0
image_00364,0,0,0,0,0,0,1,0,0,0,0
image_00365,0,0,0,0,0,0,1,0,0,0,0
image_00366,0,0,0,0,0,0,0,0,0,0,1
image_00367,0,0,0,0,0,0,1,0,0,0,0
image_00368,0,0,0,0,0,0,0,0,1,0,0
image_00369,0,0,0,0,0,0,0,0,0,0,1
image_00370,0,0,0,0,0,0,0,1,0,0,0
image_00371,0,0,0,0,0,0,1,0,0,0,0
image_00372,0,0,0,0,0,0,0,0,1,0,0
image_00373,0,0,0,0,0,1,0,0,0,0,0
image_00374,0,0,0,0,0,0,0,1,0,0,0
image_00375,0,0,0,0,0,0,1,0,0,0,0
image_00376,0,1,0,0,0,0,0,0,0,0,0
image_00377,0,0,0,0,0,0,1,0,0,0,0
image_00378,0,0,0,0,0,1,0,0,0,0,0
image_00379,0,0,0,0,0,0,0,0,0,0,1
image_00380,0,0,0,0,1,0,0,0,0,0,0
image_00381,0,0,0,0,0,0,0,1,0,0,0
image_00382,0,0,0,0,0,0,0,0,0,1,0
image_00383,0,0,0,0,0,0,0,0,0,1,0
image_00384,0,0,0,0,0,0,0,0,0,0,1
image_00385,0,0,0,1,0,0,0,0,0,0,0
image_00386,0,0,0,0,0,0,0,0,0,0,1
image_00387,0,0,0,0,0,0,0,1,0,0,0
image_00388,0,0,0,0,0,0,1,0,0,0,0
image_00389,0,0,0,0,0,0,0,1,0,0,0
image_00390,0,0,0,1,0,0,0,0,0,0,0
image_00391,0,0,0,0,0,1,0,0,0,0,0
image_00392,0,0,0,0,0,0,0,1,0,0,0
image_00393,0,0,0,0,0,0,1,0,0,0,0
image_00394,0,0,0,0,0,0,0,0,0,0,1
image_00395,0,0,0,0,0,0,0,0,0,1,0
image_00396,0,0,0,0,0,1,0,0,0,0,0
image_00397,0,0,0,0,0,0,1,0,0,0,0
image_00398,0,0,0,0,0,1,0,0,0,0,0
image_00399,0,0,0,0,0,1,0,0,0,0,0
image_00400,0,0,0,0,0,0,0,0,0,1,0
image_00401,0,0,0,0,0,0,0,1,0,0,0
image_00402,0,0,0,0,1,0,0,0,0,0,0
image_00403,0,0,0,0,0,0,0,1,0,0,0
image_00404,1,0,0,0,0,0,0,0,0,0,0
image_00405,0,0,0,0,1,0,0,0,0,0,0
image_00406,0,0,0,0,0,0,0,0,0,0,1
image_00407,0,0,0,0,0,0,0,0,0,1,0
image_00408,0,0,0,0,0,0,0,1,0,0,0
image_00409,0,0,0,0,0,0,1,0,0,0,0
image_00410,0,0,0,0,0,0,0,0,0,1,0
image_00411,0,0,0,0,0,0,0,1,0,0,0
image_00412,0,0,0,0,0,0,1,0,0,0,0
image_00413,0,0,0,0,0,0,0,0,0,1,0
image_00414,0,1,0,0,0,0,0,0,0,0,0
image_00415,0,0,0,1,0,0,0,0,0,0,0
image_00416,0,0,0,0,0,0,0,0,1,0,0
image_00417,1,0,0,0,0,0,0,0,0,0,0
image_00418,0,0,0,0,0,0,0,0,1,0,0
image_00419,0,0,0,0,0,1,0,0,0,0,0
image_00420,0,0,0,0,0,0,0,0,0,0,1
image_00421,0,0,0,0,0,0,0,1,0,0,0
image_00422,0,0,0,0,0,0,0,0,0,1,0
image_00423,1,0,0,0,0,0,0,0,0,0,0
image_00424,0,0,0,0,0,1,0,0,0,0,0
image_00425,1,0,0,0,0,0,0,0,0,0,0
image_00426,0,0,0,0,0,0,0,0,1,0,0
image_00427,0,0,0,0,1,0,0,0,0,0,0
image_00428,0,0,0,0,0,0,0,0,0,0,1
image_00429,0,0,0,0,0,0,0,0,1,0,0
image_00430,0,1,0,0,0,0,0,0,0,0,0
image_00431,0,0,0,1,0,0,0,0,0,0,0
image_00432,0,0,0,0,1,0,0,0,0,0,0
image_00433,0,0,0,1,0,0,0,0,0,0,0
image_00434,0,0,0,0,0,0,1,0,0,0,0
image_00435,0,0,0,0,0,0,1,0,0,0,0
image_00436,0,0,0,0,0,0,1,0,0,0,0
image_00437,0,1,0,0,0,0,0,0,0,0,0
image_00438,0,0,0,0,0,0,0,1,0,0,0
image_00439,0,0,0,0,0,0,0,0,0,0,1
image_00440,0,0,0,0,1,0,0,0,0,0,0
image_00441,0,0,0,1,0,0,0,0,0,0,0
image_00442,0,0,0,0,0,0,0,0,0,1,0
image_00443,0,0,0,0,0,0,1,0,0,0,0
image_00444,0,0,0,0,0,0,1,0,0,0,0
image_00445,0,0,0,0,0,0,0,0,1,0,0
image_00446,0,0,0,0,0,0,0,1,0,0,0
image_00447,0,0,0,0,0,0,1,0,0,0,0
image_00448,0,0,0,0,0,0,0,1,0,0,0
image_00449,0,0,0,0,0,0,0,1,0,0,0
image_00450,0,0,0,0,0,1,0,0,0,0,0
image_00451,0,0,0,0,0,0,1,0,0,0,0
image_00452,0,0,0,0,0,0,0,1,0,0,0
image_00453,0,0,0,0,0,0,1,0,0,0,0
image_00454,1,0,0,0,0,0,0,0,0,0,0
image_00455,0,0,0,0,1,0,0,0,0,0,0
image_00456,0,0,0,0,1,0,0,0,0,0,0
image_00457,0,0,0,0,0,0,1,0,0,0,0
image_00458,0,0,0,0,1,0,0,0,0,0,0
image_00459,0,0,0,0,0,1,0,0,0,0,0
image_00460,0,0,0,0,0,0,0,1,0,0,0
image_00461,0,0,0,0,0,0,1,0,0,0,0
image_00462,0,0,0,0,0,1,0,0,0,0,0
image_00463,0,1,0,0,0,0,0,0,0,0,0
image_00464,0,0,0,0,0,1,0,0,0,0,0
image_00465,0,0,0,0,1,0,0,0,0,0,0
image_00466,0,0,0,0,0,0,0,0,0,1,0
image_00467,1,0,0,0,0,0,0,0,0,0,0
image_00468,0,0,0,0,0,0,1,0,0,0,0
image_00469,0,0,0,0,0,0,0,1,0,0,0
image_00470,0,0,0,0,0,0,0,1,0,0,0
image_00471,0,0,0,0,0,0,0,0,0,0,1
image_00472,0,0,0,0,0,0,0,0,0,1,0
image_00473,0,0,0,0,0,0,0,1,0,0,0
image_00474,0,0,0,0,0,0,1,0,0,0,0
image_00475,0,0,0,0,0,0,0,0,1,0,0
image_00476,0,0,0,0,0,0,0,0,0,1,0
image_00477,0,0,0,0,0,0,1,0,0,0,0
image_00478,0,0,0,0,1,0,0,0,0,0,0
image_00479,0,0,0,0,1,0,0,0,0,0,0
image_00480,0,0,0,0,0,0,0,0,0,0,1
image_00481,0,0,0,0,1,0,0,0,0,0,0
image_00482,0,1,0,0,0,0,0,0,0,0,0
image_00483,0,0,0,0,0,0,0,0,1,0,0
image_00484,0,0,0,0,0,0,1,0,0,0,0
image_00485,0,0,0,0,0,0,0,0,1,0,0
image_00486,0,0,0,1,0,0,0,0,0,0,0
image_00487,0,0,0,0,1,0,0,0,0,0,0
image_00488,0,0,0,0,0,1,0,0,0,0,0
image_00489,0,0,0,0,0,0,1,0,0,0,0
image_00490,1,0,0,0,0,0,0,0,0,0,0
image_00491,0,0,0,0,0,0,0,0,0,1,0
image_00492,0,0,0,0,0,0,0,1,0,0,0
image_00493,0,0,0,0,0,0,0,1,0,0,0
image_00494,0,0,0,0,0,0,0,0,1,0,0
image_00495,0,0,0,0,0,1,0,0,0,0,0
image_00496,0,0,0,0,0,0,1,0,0,0,0
image_00497,0,0,0,0,0,0,0,0,0,0,1
image_00498,0,0,0,0,0,0,0,0,0,0,1
image_00499,0,0,0,0,0,0,0,1,0,0,0
image_00500,0,0,0,0,0,0,1,0,0,0,0
image_00501,0,0,0,0,1,0,0,0,0,0,0
image_00502,0,0,0,0,0,0,1,0,0,0,0
image_00503,0,0,0,0,0,0,0,0,1,0,0
image_00504,0,0,0,0,0,0,0,0,0,0,1
image_00505,0,0,0,0,0,0,0,0,0,0,1
image_00506,0,0,0,0,0,0,0,0,0,0,1
image_00507,0,0,0,0,0,0,1,0,0,0,0
image_00508,0,0,0,0,0,0,0,0,1,0,0
image_00509,0,0,0,0,0,0,1,0,0,0,0
image_00510,0,0,0,0,0,1,0,0,0,0,0
image_00511,0,0,0,0,0,0,0,0,1,0,0
image_00512,0,0,0,0,0,1,0,0,0,0,0
image_00513,0,0,0,0,0,0,1,0,0,0,0
